cusip,htsymbol
50105F10,KRO
64031N10,NNI
6.70E+24,NG
72407810,PIPR
74963F10,RMR
88023U10,TPX
91391510,UTI
33942T20,FLT
72376110,PBF
55907920,MGLN
71638210,PETS
26815820,DVAX
05969F10,TBBK
43274810,HTH
04621X10,AIZ
78402X10,DDD
62937750,NRG
23210910,CUTR
15568510,CVCY
82886710,SMPL
82669G10,SBNY
78573L10,SBRA
90385V10,UCTT
80511110,SVRA
3892310,ABR
G0585R10,AGO
21835210,CORT
23282W60,CYTK
74268T10,PROS
4350910,ASB
37247D10,GNW
39525910,GHL
98379310,XPO
02043Q10,ALNY
03475V10,ANGO
21924P10,CRTX
67070410,NUVA
03525Y10,PUMP
78469C10,SP
00686U10,KAR
12504L10,CBRE
60935Y20,MGI
64960450,NYMT
79466L30,CRM
G7738W10,SFL
06424J10,BOCH
25754A20,DPZ
29275Y10,ENS
94946T10,WCG
09227Q10,BLKB
56400P70,MNKD
2483510,ACC
19247A10,CNS
30225T10,EXR
49803T30,KRG
63936L10,NVT
96041310,WLK
02079K30,GOOGL
85916J40,STXS
26817R10,DYN
7368510,BECN
84287310,SFST
25386810,DLR
68334410,ONTO
61945C10,MOS
86789210,SHO
22966310,CUBE
00770C10,ADES
44746210,HURN
45781M10,INVA
88268110,TXRH
31447P10,FENC
40637H10,HALO
64007910,NP
68668810,ORA
83171G10,SPRO
57060D10,MKTX
60983910,MPWR
66807430,NWE
73618720,PLAY
84863T10,SPOK
3100110,ATLO
43710G10,HOME
13219310,OLED
05969A10,TBBK
51783410,LVS
55608B10,MIC
G4412G10,HLF
15087010,CE
92922P10,WTI
17292210,CZNC
86606G10,SMMF
92554J10,VIAC
25659T10,DLB
44701110,HUN
74112D10,PBH
29366810,EBTC
29371210,EFSC
48716P10,KRNY
63110310,NDAQ
74036740,PFBC
60855010,MTEM
91388P10,ULH
05465C10,AX
74431A10,PBIP
25213110,DXCM
25278430,DRH
26745T10,DYAI
G5405010,LAZ
17306X10,CTRN
61770010,MORN
72927310,PLBC
98981710,ZUMZ
00922R10,ATSG
06643P10,BFIN
12008R10,BLDR
Y2187A15,EGLE
50187A10,LHCG
25056510,DBI
35471R10,FSP
68823920,OSK
35903210,FRG
89469A10,THS
95763810,WAL
33734710,FHI
58463J30,MPW
20903410,CNSL
25470F10,DISCA
30212P30,EXPE
Y2685T10,GNK
00081T10,ACCO
69945P10,KIDS
12526910,CF
G3163G10,CNR
63900P50,NSP
04963C20,ATRC
47035910,JRVR
68209510,OFLX
75524B10,ROLL
78333210,RUTH
03076C10,AMP
30034T10,EVRI
G2143T10,CMPR
9623110,BXG
31620R30,FNF
86216810,SCU
Y2065G12,DHT
31939010,FBIZ
46146L10,ISBC
94188P10,WSBF
03071H10,AMSF
46272610,IRBT
86765240,SPWR
90431110,UAA
71057710,PEBK
11246310,BKD
45866F10,ICE
5529810,BCBP
21868110,CORE
54388110,LORL
53803410,LYV
92553P20,VIAB
92765V10,REX
P3107610,CPA
16965610,CMG
40403010,HEES
75885Y10,RGP
22704610,CROX
53635B10,LQDT
91004710,UAL
50060P10,KOP
89364110,TDG
39322210,GPRE
65333910,NEXT
9560210,BLUE
14888D20,CBIO
92165910,VNDA
73650884,POR
24665A10,DK
57636Q10,MA
62475810,MWA
92886T20,VG
4916420,AAWW
31891610,FBMS
74915M10,QRTEA
69937430,PRTK
33691810,FPI
36982210,GFN
02081G20,ATEC
38168Y10,GOLF
43689320,HOMB
55035110,LUNA
81617L10,SLCT
69336V10,PGTI
14161910,CSII
87157B10,SNCR
7.56E+14,H
H0153110,AWH
16856510,CBNK
22362110,COWN
16115Q30,GTLS
48300770,KALU
29977A10,EVR
41034510,HBI
20361210,ESXB
95980210,WU
20416610,CVLT
44925C10,ICFI
53262L10,LMST
98973P10,ZIOP
28238P10,EHTH
30208110,EXLS
52555820,LMAT
04247X10,AWI
25960P10,DEI
69074210,OC
52532710,LDOS
77829610,ROST
83310,ACA
29089Q10,EBS
42704L10,HRI
48242W10,KBR
84857410,SPR
14888U10,CPRX
33643310,FSLR
68555P10,ORBC
96924N10,WLDN
02208R10,AIMC
01748X10,ALGT
39060710,GLDD
44980X10,IPGP
58468P20,MNOV
14574X10,TAST
7.95E+14,SBH
29221810,EIG
807310,AVAV
34520320,FRPT
45675Y10,III
74347R66,USD
21870U50,CORR
439710,ARAY
15352720,CENTA
G3075P10,ESGR
63530910,NCMI
14427M10,PRTS
55886810,MDGL
11133T10,BR
25755920,UFS
82873020,SFNC
37989010,GLUU
36241U10,GSIT
42087720,HAYN
86800U10,SMCI
17243V10,CNK
24736170,DAL
87259010,TMUS
29667D10,ESSA
87240R10,TFSL
00766T10,ACM
05508R10,BGS
12477X10,CAI
21201510,CLR
74972L10,RRR
89621520,TRS
01345P10,ALBO
18449910,CLNE
03152W10,FOLD
G4095J10,GLRE
45841N10,IBKR
45784P10,PODD
87874R10,TTGT
39270910,GRBK
45667G10,INFN
G5087110,JAZZ
53261M10,LLNW
20564W10,SCOR
85528P10,STAR
02078A10,HDS
88822Q10,TIPT
25470910,DFS
74346Y10,PRO
G2112510,CNR
23331S10,DHX
92927K10,WBC
55002110,LULU
57479510,MASI
92827P10,VRTU
20605P10,CXO
03957W10,AROC
92856340,VMW
G3922B10,G
88076W10,TDC
91689610,UEC
89214P10,TOWN
90384S30,ULTA
12662P10,CVI
16942J10,CSR
76131N10,ROIC
74731Q10,PZN
G8766E10,TGH
16934Q20,CIM
29275620,ES
55003T10,LL
55354G10,MSCI
81124610,SCU
88580F10,PAR
02913V10,APEI
29358P10,ENSG
66611T10,NFBK
04744L10,ATHX
G1991C10,CATM
68627510,OESX
27876810,SATS
88830R10,TITN
4231550,ARR
34623310,FOR
34380C10,FLNT
86333M10,LRN
48939810,KW
89674910,GTS
92934F20,WH
58958U10,EBSB
23582520,DAN
9067210,BEAT
42726M10,HCCI
59851110,MOFG
46269C10,IRDM
43157110,HI
71817210,PM
92826C83,V
3042010,AWK
2.61E+14,DPS
46121Y20,IPI
64118K20,FRC
74761910,NX
19401410,CFX
91324P10,UNH
92531L10,VRS
Y7388L10,SB
00123Q10,AGNC
3.01E+14,EVTC
90300210,UMH
78355W66,RFL
25432X10,DCOM
47783910,JBT
29270J10,ERII
74164F10,PRIM
25470F30,DISCK
4.04E+14,HCI
55405W10,MYRG
57633B10,MHH
25381B10,DMRC
3.36E+14,FSFG
4.37E+14,HBCP
74347W67,CMD
38526M10,LOPE
00950G10,ASO
18538R10,CLW
92828Q10,VRTS
67180710,OVLY
68738010,ORRF
82001710,SMED
67623C10,OPI
46131B10,IVR
70931T10,PMT
L0175J10,ASPS
54142L10,LOGM
88145X10,TBNK
85571B10,STWD
11135F10,AVGO
03762U10,ARI
19624R10,CLNY
81619Q10,SEM
60649T10,MG
90187B40,TWO
673910,ADUS
27875T10,ECHO
68214310,OMER
92345Y10,VRSK
25667710,DG
44857910,H
52186520,LEA
22362260,COWN
3.50E+14,FTNT
12558180,CIT
97415210,WING
48238T10,KAR
50077C10,KRA
70509V10,PEB
72147K10,PPC
55357310,MSGN
72019020,PDM
88146M10,TRNO
15118V20,CELH
46333X10,IRWD
74874Q10,QNST
13100M50,CALX
98927210,ZNTL
57776J10,MXL
84763R10,SPB
G8060N10,ST
Y7542C13,STNG
5358830,AVEO
32055Y20,FIBK
78467J10,SSNC
16208T10,CLDT
59132A10,MUSA
G6331P10,AOSL
19200510,CDXS
21036U20,CNST
78463M10,SPSC
26942G10,EBMT
74939710,RCM
21900C30,CRMD
25960R10,PLOW
3.02E+14,EXPR
31847R10,FAF
37230910,GNMK
53274610,LMNR
87945510,TNAV
44409710,HPP
83001A10,SIX
92835K10,VPG
G3323L10,FN
12503M10,CBOE
88160R10,TSLA
