cusip,htsymbol
5475487,AYTU
13215210,CATC
31609R10,FDBC
92332W10,VERO
68752L10,KIDS
58844R10,MBIN
68404V10,OPTN
69290X10,PDLB
76243J10,RYTM
12665010,CVS
2136910,ALTR
30057T10,AQUA
13765N10,CNNE
78781P10,SAIL
86089710,SFIX
20854L10,CEIX
36100810,FNKO
84833T10,SPRO
09629F10,BXG
27032D30,ESTE
59177410,MCB
03753U10,APLS
98420X10,XFOR
05988J10,BAND
12481V10,CBTX
58958P10,MRBK
85917W10,SBT
81064810,SCPH
24823R10,DNLI
65158N10,NMRK
G9001E12,LILAK
G9001E10,LILA
03763A20,AMEH
14713L10,CASA
19249J10,CWBR
37033410,GIS
55055010,LBC
55381010,MVBF
67607910,ODT
74766Q10,QTRX
23131L10,CURO
G5698W11,LXFR
92854210,VVNT
53115L10,LBRT
45623710,ILPT
00090Q10,ADT
G3910810,GTES
05351X10,AVYA
72814N10,AGS
22978P10,CUE
92941V20,VYNE
64044220,NMRD
8.34E+14,SLDB
12720310,WHD
92565210,VICI
75321W10,PACK
14161W10,CDLX
30052C10,EOLS
53839L20,LIVX
00973W10,KERN
36164V30,GLIBA
75704L10,RDVT
7.51E+14,RFL
09075P10,BTAI
10862110,BWB
87615L10,TH
43808310,FIXX
30257810,FNCB
37244610,GNPX
67109R10,OPBK
68619K20,ORGS
03969F10,RCUS
98983V10,ZUO
78409V10,SPGI
38431350,EAF
G6700G10,NVT
08986R40,BHA
12326C10,BFST
19764110,CLBK
00653Q10,AHCO
25616310,DOCU
38267D10,GSHD
65487K10,LASR
52730D20,LEVL
15677J10,CDAY
22836810,CCK
8442310,WRB
49436810,KMB
15872M10,CHX
2.95E+14,EQH
21872L10,CPLG
2.69E+14,EVOP
71534710,PRSP
98311A10,WH
39572G10,GSKY
31948P10,FCBP
45773010,INSP
07272M10,BCML
21044C10,ROAD
84861D10,STXB
29973410,EVLO
30212W10,EXPI
G5269C10,KNSA
68621T10,OBNK
80706P10,SRRK
91381U10,UBX
76133Q10,RVI
05550J10,BJ
10948C10,BV
03836N10,APTX
05455M10,AVRO
25755410,DOMO
28249H10,EIDX
30041R10,EVER
46571Y10,IIIV
49372L10,KZR
54738L10,LOVE
55910K10,MGTA
G5966510,MGTX
68401U20,OPRX
89374L10,TBIO
89610F10,TCDA
92511W10,VRCA
98422L10,XERS
2.97E+14,EPRT
90268110,UGI
88025T10,TENB
78116T10,RUBY
01671P10,ALLK
9371210,BE
34417P10,FOCS
02607T10,AFIN
3.84E+13,AQST
08579X10,BRY
19046P20,CCB
21037310,CNST
22663K10,CRNX
53635D20,LQDA
33751L10,MYFW
74374N10,PRVB
76029N10,REPL
76029L10,RPAY
83570H10,SONO
G2717B10,CWK
04206A10,ARLO
2267110,AMAL
2357610,AMTB
59047913,MESA
69320M10,PCB
70451A10,PAYS
3.00E+14,EB
23156110,CW
04335A10,ARVN
09073N20,BSGM
06652N10,BSVN
13973710,CBNK
36120Q10,FVCB
39868T10,GRTS
86936710,STRO
98424110,YMAB
91688F10,UPWK
1977010,ALLO
53814L10,LTHM
76118Y10,REZI
3965310,ACA
98585X10,YETI
74271810,PG
05465P10,AXNX
06211J10,BFC
39813G10,GDYN
69290Y10,PAE
50015M10,KOD
54142F10,LOGC
G6S41R10,OSMT
71722410,PHAS
82570410,SIBN
90184D10,TWST
92210710,VAPO
05344R10,AVCO
29772L10,ETON
24703L20,DELL
2.94E+14,ENOB
52472M10,LEGH
98212N10,WRAP
22304C10,CVET
1444210,ALEC
38341P10,GOSS
41358P10,HARP
48334710,KLDO
84258710,SO
83425110,SOLY
87808K10,TCRR
98986M10,ZYXI
35137L10,FOXA
35137L20,FOX
P7368411,OSW
05875B10,BALY
Y2067610,DSSI
23255M10,CYCN
55087P10,LYFT
82489T10,SWAV
74019P10,DTIL
14610310,CARE
G9478710,WTRE
02128L10,ALTG
10918L10,MNRL
14912310,CAT
39533010,GNLN
43906K10,HOOK
56064Y10,MNSB
62921N10,NGM
69753M10,PLMR
82710M10,SILK
90041T10,TPTX
8.86E+13,BYND
70202L10,PSN
90353T10,UBER
50050N10,KTB
08862L10,XAIR
03828A10,APLT
05454B10,AXLA
22053A10,CRTX
10969610,BCO
35352510,FRAF
45166A10,IDYA
6.53E+14,NXTC
75686R20,RRBI
83946P10,SPFI
89377M10,TMDX
57860510,MEC
19416210,CL
10806X10,BBIO
00973Y10,AKRO
04965G10,BCEL
G1776610,CMBM
45258J10,IMVT
48576A10,KRTX
61775R10,MORF
74140Y10,PRVL
71535D10,PSNL
88339P10,REAL
86150R10,STOK
04546L10,AMK
42225T10,HCAT
71944F10,PHR
74349J10,PROS
86745K10,NOVA
14843C10,CSTL
35961610,FULC
45174J50,IHRT
60474910,MIRM
72356110,PBFS
76525P10,RMBI
30205M10,XCUR
98379L10,XPEL
22766M10,CFB
50127010,KRUS
92347D10,VERY
92663R10,VMD
72341T10,PING
7.08E+14,PNTG
15672710,CRNC
01446U10,ALRS
44958510,IGMS
68376D10,OPRT
80405P10,STSA
85205L10,SWTX
30068X10,XGN
7982310,BRBR
7.43E+14,PGNY
10467410,BRC
03836J10,APRE
05589G10,BRP
12674W10,CABA
35803L10,FREQ
40411110,HBT
59165J10,MCBS
69242L10,OYST
71722W10,PHAT
7.54E+14,RAPT
75955J40,RLMD
92661310,VIE
92764N10,VIR
11135B10,BRMK
10502010,BEAM
02083X10,PINE
82837P40,SI
N1976T10,CNTG
28255910,ETNB
36338D10,GRTX
82982T10,SITM
87238110,TELA
39986L10,GRWG
85209W10,SPT
30249130,FMC
9.20E+13,BDTX
68269G10,ONEM
03969K10,ARQT
9723510,BSBK
78501P20,SWKH
80810D10,SDGR
76155X10,RVMD
14762610,CSPR
07373V10,BEAM
17038610,COFS
68280L10,ONEW
70271210,PASG
74313910,PFHD
10876310,BRID
03966V10,ARNC
11275Q10,BIPC
13005U10,CALB
45249V10,IMRA
00187Y10,APG
49232710,KROS
24419910,DE
68622P10,ORIC
98943L10,ZNTL
81630730,SLQT
45332Y10,NARI
11012210,BMY
70213Q10,PTRS
G3728V10,GAN
55234L10,LYRA
34633R10,FMTX
00973J10,AKUS
03824M10,AMTI
37148K10,GBIO
92243G10,PCVX
72913910,PLRX
74319F10,PROG
05370A10,RNA
26484T10,DNB
4.37E+12,ACCD
65487U10,NKTX
75943R10,RLAY
93142710,WBA
11284V10,BEPC
61511110,MEG
1981810,ALVR
92847W10,VITL
00166B10,ALXO
03589W10,ANNX
11566020,TBI
31189V10,FTHM
45790W10,INZY
46565G10,ITOS
9702310,BA
67080M10,NRIX
69834010,PAND
73730P10,PSTX
89457R10,TIG
75010210,RXT
02875D10,AOUT
G491BT10,IVZ
Y5847310,MAXN
50157510,KYMR
90254950,UAL
64119V30,NTST
511110,AFIB
16281810,CMPI
41319710,HRMY
G4690M10,IBEX
45720L10,INBX
69014510,OM
85914M10,STEP
1.11E+24,BNL
69526K10,PTVE
86646P10,SUMO
82668L87,SIG
52634L10,LNSR
74065P10,PRLD
69353Y10,PMVP
92552R40,VVI
50736T10,LSF
04746L10,ATHA
22041X10,CRSR
26818M10,DYN
95058W10,WEN
38942Q10,GRAY
5.91E+14,MTCR
87761910,TSHA
50107A10,KRON
27627N10,EBC
58450V10,MAX
57632310,MTZ
36803610,GATO
78472W10,SQZ
04683R10,AVIR
01626L10,ALGS
00402L10,ASO
60510V10,AVO
12529R10,CCCC
19201010,CDAK
27008710,EAR
34417410,FHTX
74584810,LUNG
68236R10,ONCR
74006W10,PRAX
8.52E+14,SPRB
82024L10,STTK
87650L10,TARS
87161C50,SNV
00258W10,AAN
53815P10,RAMP
44181510,HI
22439910,CR
12660010,CVBF
47233W10,JEF
282410,ABT
12719030,CACI
12738210,CADE
16516773,CHK
12803020,CALM
14428510,CRS
12812610,CAMP
13078810,CWT
780010,AJRD
13133410,CLNY
02376R10,AAL
37153210,GCO
31540510,FOE
53983010,LMT
96145D10,WRK
65163910,NEM
14149Y10,CAH
81730H10,S
48214T30,GRUB
46014610,IP
14752810,CASY
30161N10,EXC
15189T10,CNP
14956710,CVCO
71708110,PFE
15185210,CBNK
15242010,CBAN
29101110,EMR
47816010,JNJ
15641010,CENT
21935010,GLW
69350610,PPG
69351T10,PPL
88579Y10,MMM
16076910,CAKE
58933Y10,MRK
16113310,CHRS
62007630,MSI
13809810,CMD
16172810,CDEV
16353210,CTRN
33793210,FE
16530310,CPK
12589610,CMS
10964110,EAT
43284810,HLT
17134010,CHD
17206210,CINF
92939U10,WEC
3041110,AWK
88320310,TXT
17290810,CTAS
74457310,PEG
17474010,CIA
40621610,HAL
55269010,MDU
98389B10,XEL
29364G10,ETR
30034W10,EVRG
2553710,AEP
65339F10,NEE
1852230,ALE
1371610,AL
4418610,ASH
26884L10,EQT
74956K10,RGS
67083710,OGE
19210850,CDE
72447910,PBI
19247910,COHR
19626710,TILE
66680710,NOC
19933510,COLM
75511150,RTN
05379B10,AVA
2360810,AEE
20030010,CMCSA
20034010,CMA
20052510,CBSH
68268010,OKE
41586410,HSC
13442910,CPB
20339910,COMM
96332010,WHR
5377410,CAR
50243110,LHX
63618010,NFG
34537086,F
26000310,DOV
82270360,SC
24736110,DAL
20582620,CMTL
25063810,PLAY
20619710,CE
25468710,DIS
29265N10,EGN
08986R30,BH
83851810,SJI
22948Q10,CTO
54042410,L
48783610,K
92220P10,VAR
85915810,STL
14233910,CSL
18589910,CLF
21683110,CTB
22410J10,CBRL
78354910,R
04538V10,APY
5380710,AVT
78462610,ST
40434L10,HPQ
7181310,BAX
22989910,CFR
26441C20,DUK
98421M10,XRX
72348410,PNW
62957910,NC
915810,APD
62671710,MUR
92904210,VNO
42809H10,HES
12650110,CTS
22160610,CSTR
1165910,ALK
G6359F13,NBR
4273510,ARW
03820C10,AIT
11563710,BFA
11563720,BFB
25357210,DCOM
25666910,DG
19257610,COHU
20172310,CMC
68191910,OMC
34354P10,FLS
22966910,CUB
26951010,EGLE
26209320,DRH
27631710,EML
27826510,EV
36480210,GAN
28541040,ELMD
29257310,DATA
42270410,HL
42280610,HEI
42345210,HP
43610610,HFC
44045210,HRL
44351060,HUBB
4956010,ATO
29410010,ENZ
29443520,EQIX
29534910,ERIE
29605610,ESCA
23291C10,BOOM
57459910,MAS
30767510,FARM
63721510,NPK
9282810,BL
