ticker,date,totalvol,retailvol
AAPL,8/20/2019,107678116,54668640
AAPL,8/21/2019,86258988,37388524
AAPL,8/22/2019,89071276,32765648
AAPL,8/23/2019,187531372,74841132
AAPL,8/26/2019,104264520,44969316
AAPL,8/27/2019,103589376,40542640
AAPL,8/28/2019,63830528,24673796
AAPL,8/29/2019,84030608,34848460
AAPL,8/30/2019,84650244,31391344
AAPL,9/3/2019,80238296,32537544
AAPL,9/4/2019,76867280,28009156
AAPL,9/5/2019,95787936,36910068
AAPL,9/6/2019,77449176,24242360
AAPL,9/9/2019,109237604,40538484
AAPL,9/10/2019,127111724,52528136
AAPL,9/11/2019,177158584,68792268
AAPL,9/12/2019,128906676,54164632
AAPL,9/13/2019,159053184,68399364
AAPL,9/16/2019,84632564,34461312
AAPL,9/17/2019,73545872,32781704
AAPL,9/18/2019,102572372,42209204
AAPL,9/19/2019,88751504,34588944
AAPL,9/20/2019,231908376,71008908
AAPL,9/23/2019,77678592,30079224
AAPL,9/24/2019,125737468,48862488
AAPL,9/25/2019,89924024,32539008
AAPL,9/26/2019,76353248,27399888
AAPL,9/27/2019,101445140,33503440
AAPL,9/30/2019,105274332,42371308
AAPL,10/1/2019,144748652,62526232
AAPL,10/2/2019,143069028,58326108
AAPL,10/3/2019,121410744,55638312
AAPL,10/4/2019,139022212,55008704
AAPL,10/7/2019,123557076,50986684
AAPL,10/8/2019,117130800,49128668
AAPL,10/9/2019,76117696,29341036
AAPL,10/10/2019,115851936,44555336
AAPL,10/11/2019,167960840,71767008
AAPL,10/14/2019,97653936,47491044
AAPL,10/15/2019,92161932,41602232
AAPL,10/16/2019,77146776,33186288
AAPL,10/17/2019,69091588,29362832
AAPL,10/18/2019,97508664,30082956
AAPL,10/21/2019,89469932,37360740
AAPL,10/22/2019,90736004,42772824
AAPL,10/23/2019,79730180,34841476
AAPL,10/24/2019,71665020,31981076
AAPL,10/25/2019,73477184,32927508
AAPL,10/28/2019,96572964,44550800
AAPL,10/29/2019,142839468,70928012
AAPL,10/30/2019,124522088,51245192
