date,ticker,open,close,high,low,vol
17/05/2021,AMZN,3245.92993,3270.38989,3292.75,3234.59009,3715889
18/05/2021,AMZN,3292.57495,3232.28003,3312,3230.37012,2820453
19/05/2021,AMZN,3195,3231.80005,3234.75,3184,2670058
20/05/2021,AMZN,3244.4043,3247.67993,3259.67993,3236.17993,2625787
21/05/2021,AMZN,3250,3203.08008,3256.69458,3197.01001,4097494
24/05/2021,AMZN,3215.5,3244.98999,3257.94995,3210.49927,2416022
25/05/2021,AMZN,3266.66992,3259.05005,3279.82007,3213.76001,3251407
26/05/2021,AMZN,3274.59106,3265.15991,3295.72998,3258.51001,2379026
27/05/2021,AMZN,3256,3230.11011,3260.35498,3230.04004,2554984
28/05/2021,AMZN,3242,3223.07007,3247.98999,3219.69995,2321924
1/6/2021,AMZN,3243.49512,3218.6499,3250.97998,3209.06006,2423647
2/6/2021,AMZN,3223.1001,3233.98999,3235,3208,2009347
3/6/2021,AMZN,3204.22998,3187.01001,3214.43506,3184.03003,2393537
4/6/2021,AMZN,3212,3206.21997,3221,3198.81006,2246527
7/6/2021,AMZN,3197.33008,3198.01001,3208,3172.19995,2214290
8/6/2021,AMZN,3222.61011,3264.11011,3279.53198,3218.01001,3409183
9/6/2021,AMZN,3272.87012,3281.1499,3297.58008,3270.69995,2451749
10/6/2021,AMZN,3282.01001,3349.6499,3351,3281.1499,3464870
11/6/2021,AMZN,3349.6499,3346.83008,3366.58008,3333.44995,2791273
14/06/2021,AMZN,3346.83008,3383.87012,3385,3335.5,2553597
15/06/2021,AMZN,3384,3383.12988,3396.98657,3363.11011,2412229
16/06/2021,AMZN,3392,3415.25,3426.3501,3360.53003,4183679
17/06/2021,AMZN,3403.17993,3489.23999,3497.19995,3401,5129140
18/06/2021,AMZN,3479.98999,3486.8999,3507,3473.70996,5225995
21/06/2021,AMZN,3476.41992,3453.95996,3482,3434,3265351
22/06/2021,AMZN,3458.06006,3505.43994,3523.78003,3456.09009,3329966
23/06/2021,AMZN,3505,3503.82007,3521,3483.19995,2804640
24/06/2021,AMZN,3507.63989,3449.08008,3524.85986,3430.8501,3820926
25/06/2021,AMZN,3464,3401.45996,3464.82007,3394.17993,3921642
28/06/2021,AMZN,3416,3443.88989,3448,3413.50977,2240670
29/06/2021,AMZN,3438.82007,3448.13989,3456.03003,3423.03003,2091886
30/06/2021,AMZN,3441.06006,3440.15991,3471.60181,3435,2391409
1/7/2021,AMZN,3434.61011,3432.96997,3457,3409.42065,2034566
