"date","ticker","open","close","high","low","vol","newssentiment","newsmentions","twtrmentions","twtrsentiment","wsbsentiment","wsbmentions","retailvol","instvol","retailperc","newssentimentlag1","newsmentionslag1","twtrmentionslag1","twtrsentimentlag1","wsbsentimentlag1","wsbmentionslag1","newssentimentlag2","newsmentionslag2","twtrmentionslag2","twtrsentimentlag2","wsbsentimentlag2","wsbmentionslag2","newssentimentlag4","newsmentionslag4","twtrmentionslag4","twtrsentimentlag4","wsbsentimentlag4","wsbmentionslag4","twtrmentions5MA","wsbmentions5MA","newsmentions5MA","twtrmentions10MA","wsbmentions10MA","newsmentions10MA","target"
2019-02-04,"AAPL",41.8525,42.8125,42.91375,41.82,125975928,63,3,1014,0.403353057199211,0.025025,1,55102564,70879764,0.43738328124878,50,7,864,0.289351851851852,-0.094218182,1,50,6,1226,0.302610114192496,0.049941667,1,50,7,864,0.289351851851852,-0.094218182,1,1053,1,9,1381.3,1,12.8,63004608
2019-02-05,"AAPL",43.215,43.5449975,43.77,43.087525,144397356,50.3636363636364,22,1225,0.41469387755102,0.201776191,1,63004608,81401904,0.436300324184826,63,3,1014,0.403353057199211,0.025025,1,63,7,864,0.289351851851852,-0.094218182,1,63,3,1014,0.403353057199211,0.025025,1,974.6,1,7.8,1110.6,1,8.4,50471576
2019-02-06,"AAPL",43.6624975,43.5600025,43.8925025,43.213275,112938764,44,7,936,0.318376068376068,-0.05571579,1,50471576,62486788,0.446815748854153,50.3636363636364,22,1225,0.41469387755102,0.201776191,1,50.3636363636364,3,1014,0.403353057199211,0.025025,1,50.3636363636364,22,1225,0.41469387755102,0.201776191,1,953.2,1,6.6,939.4,1,5.5,49640120
2019-02-07,"AAPL",43.0999975,42.735,43.485,42.585,127034360,50,0,834,0.366906474820144,-0.027841667,1,49640120,77326640,0.39096941593217,44,7,936,0.318376068376068,-0.05571579,1,44,22,1225,0.41469387755102,0.201776191,1,44,7,936,0.318376068376068,-0.05571579,1,908.6,1,6.2,908.3,1,5.3,37258440
2019-02-08,"AAPL",42.2475025,42.6025,42.665,42.105,95274424,50,1,757,0.291941875825627,0.147525,1,37258440,58021424,0.391042119875402,50,0,834,0.366906474820144,-0.027841667,1,50,7,936,0.318376068376068,-0.05571579,1,50,0,834,0.366906474820144,-0.027841667,1,840.6,1,1.8,905.3,1,4.9,30959304
2019-02-11,"AAPL",42.7625,42.3574975,42.8025025,42.3125,83968900,30,1,791,0.323640960809102,0.021566667,1,30959304,53014396,0.368678574363164,50,1,757,0.291941875825627,0.147525,1,50,0,834,0.366906474820144,-0.027841667,1,50,1,757,0.291941875825627,0.147525,1,825.8,1,2,879.6,1,4.6,31091188
2019-02-12,"AAPL",42.5250025,42.7225,42.75,42.425,89158640,50,0,885,0.348022598870056,-0.029864286,1,31091188,58042904,0.348813650337067,30,1,791,0.323640960809102,0.021566667,1,30,1,757,0.291941875825627,0.147525,1,30,1,791,0.323640960809102,0.021566667,1,842,1,2.8,842.5,1,2.4,35120564
2019-02-13,"AAPL",42.8475,42.5449975,43.12,42.48,89970132,32.5,8,862,0.273781902552204,0.08225,1,35120564,54840368,0.390397956303965,50,0,885,0.348022598870056,-0.029864286,1,50,1,791,0.323640960809102,0.021566667,1,50,0,885,0.348022598870056,-0.029864286,1,857.4,1,3.2,843.9,1,2.3,29511800
2019-02-14,"AAPL",42.4275025,42.7,42.8153775,42.345,87334392,42,4,915,0.245901639344262,-0.029614286,1,29511800,57831188,0.337884021096233,32.5,8,862,0.273781902552204,0.08225,1,32.5,0,885,0.348022598870056,-0.029864286,1,32.5,8,862,0.273781902552204,0.08225,1,850.6,1,3,829,1,2.9,33123164
2019-02-15,"AAPL",42.8125,42.605,42.925,42.4375,98502456,46,3,834,0.148681055155875,-0.067216667,1,33123164,65384092,0.33625100672787,42,4,915,0.245901639344262,-0.029614286,1,42,8,862,0.273781902552204,0.08225,1,42,4,915,0.245901639344262,-0.029614286,1,844.4,1,3,848.6,1,3.1,30106952
2019-02-19,"AAPL",42.4275025,42.7324975,42.86,42.3725025,77075304,50,0,757,0.33553500660502,-0.5634,1,30106952,45784352,0.396711486206641,46,3,834,0.148681055155875,-0.067216667,1,46,4,915,0.245901639344262,-0.029614286,1,46,3,834,0.148681055155875,-0.067216667,1,862,1,2.6,863,1,3.2,42076292
2019-02-20,"AAPL",42.7975,43.0075,43.3300025,42.7475025,104445848,50,0,854,0.336065573770492,0.05436,1,42076292,62381156,0.402807964445005,50,0,757,0.33553500660502,-0.5634,1,50,3,834,0.148681055155875,-0.067216667,1,50,0,757,0.33553500660502,-0.5634,1,816,1,3,849.9,1,3.4,23773640
2019-02-21,"AAPL",42.95,42.765,43.0925,42.575,68988320,54,6,950,0.382105263157895,0.3506,1,23773640,45225040,0.34455209867783,50,0,854,0.336065573770492,0.05436,1,50,0,757,0.33553500660502,-0.5634,1,50,0,854,0.336065573770492,0.05436,1,839.8,1,3,853.2,1,2.8,24956388
2019-02-22,"AAPL",42.895,43.2425,43.25,42.845,75631316,61.5,6,685,0.337226277372263,0.4512,1,24956388,50696228,0.329881361934662,54,6,950,0.382105263157895,0.3506,1,54,0,854,0.336065573770492,0.05436,1,54,6,950,0.382105263157895,0.3506,1,875.4,1,3.4,839.8,1,2.6,31234500
2019-02-25,"AAPL",43.54,43.5575,43.9675,43.4875,87483032,49.6666666666667,3,953,0.418677859391396,-0.08576,1,31234500,56258932,0.356992511163581,61.5,6,685,0.337226277372263,0.4512,1,61.5,6,950,0.382105263157895,0.3506,1,61.5,6,685,0.337226277372263,0.4512,1,855.4,1,3.8,847,1,2.5,24938092
2019-02-26,"AAPL",43.4275025,43.5825,43.825,43.2933,68275644,68,2,935,0.463101604278075,-0.549066667,1,24938092,43342752,0.365228232972633,49.6666666666667,3,953,0.418677859391396,-0.08576,1,49.6666666666667,6,685,0.337226277372263,0.4512,1,49.6666666666667,3,953,0.418677859391396,-0.08576,1,844.4,1,3,851.5,1,2.5,32316952
2019-02-27,"AAPL",43.3025025,43.7175,43.75,43.1825,111330000,19,2,754,0.488063660477454,0.194366667,1,32316952,79024604,0.290250587121308,68,2,935,0.463101604278075,-0.549066667,1,68,3,953,0.418677859391396,-0.08576,1,68,2,935,0.463101604278075,-0.549066667,1,863.6,1,2.2,851.3,1,2.5,42443620
2019-02-28,"AAPL",43.5800025,43.2874975,43.7275,43.23,112859264,43,2,895,0.389944134078212,0.139066667,1,42443620,70418044,0.376067643305348,19,2,754,0.488063660477454,0.194366667,1,19,2,935,0.463101604278075,-0.549066667,1,19,2,754,0.488063660477454,0.194366667,1,854.2,1,2,837.9,1,1.9,35260160
2019-03-01,"AAPL",43.57,43.7425,43.7874975,43.2225,103539268,63,2,781,0.426376440460948,0.145281818,1,35260160,68284508,0.340530909809861,43,2,895,0.389944134078212,0.139066667,1,43,2,754,0.488063660477454,0.194366667,1,43,2,895,0.389944134078212,0.139066667,1,827.6,1,1.6,848.3,1,1.3,42539624
2019-03-04,"AAPL",43.9225,43.9625025,44.4375,43.4925,109793696,63,2,906,0.392935982339956,0.3763,1,42539624,67205188,0.387623097846302,63,2,781,0.426376440460948,0.145281818,1,63,2,895,0.389944134078212,0.139066667,1,63,2,781,0.426376440460948,0.145281818,1,847.2,1,1.2,871,1,1.1,29748612
2019-03-05,"AAPL",43.985,43.8825,44,43.6349975,78943676,50,0,802,0.508728179551122,0.335125,1,29748612,49201064,0.376804738248704,63,2,906,0.392935982339956,0.3763,1,63,2,781,0.426376440460948,0.145281818,1,63,2,906,0.392935982339956,0.3763,1,831.4,1,0.8,904.7,1,0.9,26311792
2019-03-06,"AAPL",43.6675,43.63,43.8725025,43.485,83329168,50,0,852,0.411971830985915,0.007633333,1,26311792,56929744,0.316089698296773,50,0,802,0.508728179551122,0.335125,1,50,2,906,0.392935982339956,0.3763,1,50,0,802,0.508728179551122,0.335125,1,833,1,0.4,931.1,1,1.3,30285612
2019-03-07,"AAPL",43.4675,43.125,43.61,43.005,99180664,50,0,816,0.405637254901961,0.3139,1,30285612,68899884,0.3053431521883,50,0,852,0.411971830985915,0.007633333,1,50,0,802,0.508728179551122,0.335125,1,50,0,852,0.411971830985915,0.007633333,1,887.8,1,0.2,959.7,1,1.6,28268072
2019-03-08,"AAPL",42.5800025,43.2275,43.2675025,42.375,95990336,50,0,789,0.310519645120406,0.1027,1,28268072,67729360,0.294466960324522,50,0,816,0.405637254901961,0.3139,1,50,0,852,0.411971830985915,0.007633333,1,50,0,816,0.405637254901961,0.3139,1,981.8,1,0.2,993.6,1,1.6,49683380
2019-03-11,"AAPL",43.8725025,44.7249975,44.78,43.8375025,128035736,78,1,1180,0.419491525423729,-0.027166667,1,49683380,78360756,0.388017612926843,50,0,789,0.310519645120406,0.1027,1,50,0,816,0.405637254901961,0.3139,1,50,0,789,0.310519645120406,0.1027,1,1015,1,1.4,990,0.9,1.9,53207960
2019-03-12,"AAPL",45,45.2275,45.6675,44.8425,129864764,50,0,1272,0.47877358490566,0.087824,1,53207960,76662376,0.409700641723141,78,1,1180,0.419491525423729,-0.027166667,1,78,0,789,0.310519645120406,0.1027,1,78,1,1180,0.419491525423729,-0.027166667,1,1088,1,2.4,1009.8,0.9,2.3,43617732
2019-03-13,"AAPL",45.5625,45.4275025,45.825,45.23,124128096,41,6,1018,0.411591355599214,0.081317647,1,43617732,80512364,0.351387241334285,50,0,1272,0.47877358490566,0.087824,1,50,1,1180,0.419491525423729,-0.027166667,1,50,0,1272,0.47877358490566,0.087824,1,1154.2,1,2.8,1010.5,0.9,3.1,33686340
2019-03-14,"AAPL",45.9749975,45.9325,46.0250025,45.64,94317632,62.4,5,1181,0.376799322607959,0.13257931,1,33686340,60631692,0.357156943223752,41,6,1018,0.411591355599214,0.081317647,1,41,0,1272,0.47877358490566,0.087824,1,41,6,1018,0.411591355599214,0.081317647,1,1092.2,0.8,3.6,1100.4,0.9,4.8,48242552
2019-03-15,"AAPL",46.2125025,46.53,46.8325,45.9350025,156165060,42.5,2,1120,0.413392857142857,0.152125676,1,48242552,107929096,0.30890723519803,62.4,5,1181,0.376799322607959,0.13257931,1,62.4,6,1018,0.411591355599214,0.081317647,1,62.4,5,1181,0.376799322607959,0.13257931,1,1037.8,0.8,4.4,1129.8,0.9,4.9,44794928
2019-03-18,"AAPL",46.45,47.005,47.0975,46.4474975,104874528,64,5,870,0.526436781609195,0,0,44794928,60084400,0.427109220226888,42.5,2,1120,0.413392857142857,0.152125676,1,42.5,5,1181,0.376799322607959,0.13257931,1,42.5,2,1120,0.413392857142857,0.152125676,1,1006,0.8,4.8,1280.6,0.9,8.3,53146912
2019-03-19,"AAPL",47.0875025,46.6325,47.2475025,46.48,126582800,63,4,1000,0.528,0.011791525,1,53146912,73438564,0.41984999922108,64,5,870,0.526436781609195,0,0,64,2,1120,0.413392857142857,0.152125676,1,64,5,870,0.526436781609195,0,0,1112.8,0.8,7.2,1345,0.9,10.5,42724652
2019-03-20,"AAPL",46.5575,47.04,47.3725025,46.1825,124137744,64,8,859,0.520372526193248,-0.085705882,1,42724652,81416272,0.344162510019661,63,4,1000,0.528,0.011791525,1,63,5,870,0.526436781609195,0,0,63,4,1000,0.528,0.011791525,1,1105.4,0.8,7,1358.1,0.9,9.9,81573404
