"","date","ticker","otcvol","otcshortvol"
"2057",2020-07-01,"AMZN",2499432,850894
"2058",2020-07-01,"FB",18583435,10480279
"2059",2020-07-01,"GOOGL",393437,178702
"2060",2020-07-01,"NFLX",3669847,1919696
"2061",2020-07-02,"AAPL",48678340,20714104
"2062",2020-07-02,"AMZN",2624004,1055943
"2063",2020-07-02,"FB",13771502,8123236
"2064",2020-07-02,"GOOGL",617653,340274
"2065",2020-07-02,"NFLX",2678327,1485849
"2069",2020-07-06,"AAPL",52357216,19878492
"2070",2020-07-06,"AMZN",2967728,1138730
"2071",2020-07-06,"FB",11116598,6420484
"2072",2020-07-06,"GOOGL",475283,214480
"2073",2020-07-06,"NFLX",3241066,1290010
"2074",2020-07-07,"AAPL",48982908,19874244
"2075",2020-07-07,"AMZN",2158049,891126
"2076",2020-07-07,"FB",12682111,8001709
"2077",2020-07-07,"GOOGL",506058,232076
"2078",2020-07-07,"NFLX",2531291,969364
"2079",2020-07-08,"AAPL",55942548,25294408
"2080",2020-07-08,"AMZN",2127268,820016
"2081",2020-07-08,"FB",14186494,9014627
"2082",2020-07-08,"GOOGL",378803,149416
"2083",2020-07-08,"NFLX",2373276,818977
"2084",2020-07-09,"AAPL",59241160,24661032
"2085",2020-07-09,"AMZN",2855150,1186545
"2086",2020-07-09,"FB",9129425,5747053
"2087",2020-07-09,"GOOGL",545345,255749
"2088",2020-07-09,"NFLX",2511840,1041909
"2089",2020-07-10,"AAPL",38941380,15413372
"2090",2020-07-10,"AMZN",2353059,905843
"2091",2020-07-10,"FB",9433652,5170016
"2092",2020-07-10,"GOOGL",453527,228833
"2093",2020-07-10,"NFLX",11318706,4602123
"2096",2020-07-13,"AAPL",90759508,36967696
"2097",2020-07-13,"AMZN",3446192,1345782
"2098",2020-07-13,"FB",11199432,6553069
"2099",2020-07-13,"GOOGL",696826,279597
"2100",2020-07-13,"NFLX",9403121,4128118
"2101",2020-07-14,"AAPL",73461604,26286224
"2102",2020-07-14,"AMZN",3191632,873756
"2103",2020-07-14,"FB",9404933,5516417
"2104",2020-07-14,"GOOGL",406538,204279
"2105",2020-07-14,"NFLX",8501834,3246689
"2106",2020-07-15,"AAPL",72958392,31459800
"2107",2020-07-15,"AMZN",2499450,936758
"2108",2020-07-15,"FB",8949213,5272089
"2109",2020-07-15,"GOOGL",337270,200597
"2110",2020-07-15,"NFLX",5861797,2232192
"2111",2020-07-16,"AAPL",48967044,20360132
"2112",2020-07-16,"AMZN",2733647,954098
"2113",2020-07-16,"FB",7721559,4779669
"2114",2020-07-16,"GOOGL",280994,148618
"2115",2020-07-16,"NFLX",11894830,5066704
"2116",2020-07-17,"AAPL",38319156,15813320
"2117",2020-07-17,"AMZN",1879880,717736
"2118",2020-07-17,"FB",7453261,4078382
"2119",2020-07-17,"GOOGL",274592,115667
"2120",2020-07-17,"NFLX",13598221,6389522
"2123",2020-07-20,"AAPL",37094404,15346836
"2124",2020-07-20,"AMZN",3167417,1136481
"2125",2020-07-20,"FB",9294927,3646575
"2126",2020-07-20,"GOOGL",346632,161059
"2127",2020-07-20,"NFLX",6567820,2740801
"2128",2020-07-21,"AAPL",44175396,17734460
"2129",2020-07-21,"AMZN",2933941,1101294
"2130",2020-07-21,"FB",7319763,3037529
"2131",2020-07-21,"GOOGL",264105,131245
"2132",2020-07-21,"NFLX",4580653,1962599
"2133",2020-07-22,"AAPL",38326472,16296512
