RP_ENTITY_ID,RELEVANCE,ESS,RPNA_DATE_UTC,RPNA_TIME_UTC
4A6F00,100,61,6/26/2019,00:01.7
4A6F00,100,61,7/1/2019,34:51.0
4A6F00,100,69,7/1/2019,00:11.8
4A6F00,100,61,7/3/2019,00:04.4
4A6F00,100,61,7/3/2019,00:05.7
4A6F00,100,61,7/9/2019,00:21.1
4A6F00,100,61,7/9/2019,00:21.3
4A6F00,100,61,7/9/2019,18:00.3
4A6F00,100,48,7/10/2019,04:00.4
4A6F00,100,61,7/15/2019,33:00.4
4A6F00,100,22,7/15/2019,33:00.3
4A6F00,100,61,7/17/2019,00:04.7
4A6F00,100,61,7/22/2019,00:03.2
4A6F00,100,61,7/22/2019,00:08.9
4A6F00,100,61,7/22/2019,00:03.6
4A6F00,100,64,7/23/2019,00:05.2
4A6F00,100,48,7/24/2019,58:00.5
4A6F00,100,26,7/24/2019,40:20.6
4A6F00,100,61,7/26/2019,00:09.4
4A6F00,100,61,7/30/2019,00:38.2
4A6F00,100,61,8/7/2019,00:00.5
4A6F00,100,61,8/14/2019,30:00.6
4A6F00,100,22,8/14/2019,33:40.5
4A6F00,100,61,8/20/2019,00:03.1
4A6F00,100,61,8/21/2019,00:45.8
4A6F00,100,61,8/21/2019,58:44.4
4A6F00,100,61,8/21/2019,03:56.8
4A6F00,100,61,8/21/2019,45:04.6
4A6F00,100,61,8/21/2019,45:07.5
4A6F00,100,61,8/21/2019,45:35.4
4A6F00,100,61,8/26/2019,21:05.4
4A6F00,100,61,8/27/2019,00:20.7
4A6F00,100,61,8/27/2019,00:00.5
4A6F00,100,61,8/27/2019,12:15.4
4A6F00,100,61,8/28/2019,00:05.2
4A6F00,100,61,8/29/2019,02:00.6
4A6F00,100,61,9/9/2019,00:07.0
4A6F00,100,61,9/9/2019,10:02.8
4A6F00,100,61,9/17/2019,00:06.9
4A6F00,100,61,9/17/2019,01:13.5
4A6F00,100,61,9/18/2019,00:03.8
4A6F00,100,81,9/19/2019,00:03.1
4A6F00,100,61,9/19/2019,35:02.1
4A6F00,100,61,9/26/2019,38:58.6
4A6F00,100,69,10/1/2019,29:10.4
4A6F00,100,61,10/2/2019,30:00.4
4A6F00,100,61,10/8/2019,30:06.3
4A6F00,100,61,10/16/2019,30:14.9
