Date,Ticker,OTC_Short,OTC_Total,DPI
3/29/2021,NFLX,351639,903927,0.389012608
3/26/2021,NFLX,476379,1072342,0.444241669
3/25/2021,NFLX,553466,1414751,0.391210892
3/24/2021,NFLX,373232,960555,0.388558698
3/23/2021,NFLX,914163,1901968,0.480640579
3/22/2021,NFLX,399613,926865,0.431144773
3/19/2021,NFLX,350708,774269,0.452953689
3/18/2021,NFLX,383547,923258,0.415427757
3/17/2021,NFLX,272781,694528,0.392757383
3/15/2021,NFLX,338777,789666,0.429013026
3/12/2021,NFLX,520259,1143770,0.454863303
3/11/2021,NFLX,520416,1409348,0.369260112
3/10/2021,NFLX,762786,1229451,0.620428142
3/9/2021,NFLX,297664,829749,0.358739812
3/9/2021,NFLX,297664,829749,0.358739812
3/8/2021,NFLX,336988,1062155,0.317268195
3/8/2021,NFLX,336988,1062155,0.317268195
3/5/2021,NFLX,491724,1397962,0.351743467
3/4/2021,NFLX,672006,1456912,0.461253665
3/3/2021,NFLX,657569,1794239,0.36648908
3/2/2021,NFLX,345043,785993,0.438989915
3/1/2021,NFLX,382392,781531,0.489285774
2/26/2021,NFLX,381269,933583,0.408393255
2/25/2021,NFLX,486765,971885,0.500846294
2/24/2021,NFLX,449326,906550,0.495643925
2/23/2021,NFLX,464865,1174670,0.395740932
2/22/2021,NFLX,348451,796242,0.437619467
2/19/2021,NFLX,270811,707153,0.382959558
2/18/2021,NFLX,215468,608543,0.354071939
2/17/2021,NFLX,239507,604406,0.396268402
2/16/2021,NFLX,338623,745260,0.454368945
2/12/2021,NFLX,256043,626997,0.408363995
2/11/2021,NFLX,217064,752287,0.288538816
2/10/2021,NFLX,374198,1192976,0.313667668
2/9/2021,NFLX,442547,1330814,0.332538582
2/8/2021,NFLX,304763,857551,0.35538761
2/5/2021,NFLX,240401,685220,0.350837687
2/4/2021,NFLX,779488,1946760,0.40040272
2/3/2021,NFLX,393951,912596,0.431681708
2/2/2021,NFLX,464045,1177480,0.394100112
2/1/2021,NFLX,477170,1010573,0.472177666
1/29/2021,NFLX,466851,1189276,0.392550594
1/28/2021,NFLX,802468,1712121,0.468698182
1/27/2021,NFLX,1083408,2131964,0.508173684
1/26/2021,NFLX,711157,2138940,0.332481042
1/25/2021,NFLX,1073394,2665313,0.402727184
1/22/2021,NFLX,1042744,3053611,0.34147899
1/21/2021,NFLX,1940146,5262041,0.368705983
1/20/2021,NFLX,5964063,14857964,0.401405132
1/19/2021,NFLX,1103009,3122331,0.353264596
1/15/2021,NFLX,794505,1793955,0.442879002
1/14/2021,NFLX,476603,1351320,0.352694403
1/13/2021,NFLX,611486,1787268,0.342134476
1/12/2021,NFLX,771540,1809348,0.426418798
1/11/2021,NFLX,375506,1199507,0.313050278
1/8/2021,NFLX,289165,864832,0.334359737
1/7/2021,NFLX,418951,1158682,0.36157548
1/6/2021,NFLX,608448,1671124,0.364095064
1/5/2021,NFLX,413147,1028905,0.401540473
1/4/2021,NFLX,507080,1326822,0.382176358
12/31/2020,NFLX,923911,2237981,0.41283237
12/30/2020,NFLX,220591,603554,0.365486767
12/29/2020,NFLX,690572,1578052,0.437610421
12/28/2020,NFLX,352519,989811,0.35614779
12/24/2020,NFLX,203449,403696,0.503965856
12/23/2020,NFLX,451912,836961,0.539943916
12/22/2020,NFLX,284091,531412,0.534596509
12/21/2020,NFLX,566978,957243,0.592303104
12/18/2020,NFLX,412619,775343,0.532176082
12/17/2020,NFLX,494525,992445,0.498289578
12/16/2020,NFLX,693367,1235126,0.561373496
12/15/2020,NFLX,632587,1177649,0.537160903
12/14/2020,NFLX,1231070,2161273,0.569604118
12/11/2020,NFLX,547055,893945,0.611955993
12/10/2020,NFLX,558184,928420,0.601219276
12/9/2020,NFLX,642710,1301894,0.493673064
12/8/2020,NFLX,682416,1238698,0.550913944
12/7/2020,NFLX,929923,1630186,0.570439815
12/4/2020,NFLX,721853,1113964,0.648003885
12/3/2020,NFLX,460979,1036137,0.444901591
12/2/2020,NFLX,411021,1101075,0.373290648
12/1/2020,NFLX,747709,2013809,0.371290922
11/30/2020,NFLX,312125,849868,0.367262916
11/27/2020,NFLX,480187,1345364,0.356919763
11/25/2020,NFLX,631720,1075002,0.587645418
11/24/2020,NFLX,702720,1294600,0.54280859
11/23/2020,NFLX,781838,1789423,0.436921846
11/20/2020,NFLX,567496,1619757,0.350358727
11/19/2020,NFLX,303989,782629,0.388420312
11/18/2020,NFLX,460324,1226954,0.37517625
11/17/2020,NFLX,439872,1172106,0.375283464
11/16/2020,NFLX,600311,1670065,0.359453674
11/13/2020,NFLX,463183,1181381,0.392069112
11/12/2020,NFLX,620341,1709322,0.362916408
11/11/2020,NFLX,664709,1712366,0.388181615
11/10/2020,NFLX,1300985,2997388,0.434039571
11/9/2020,NFLX,1419466,3245812,0.43732231
11/6/2020,NFLX,811163,1515449,0.535262487
11/5/2020,NFLX,618278,2103117,0.293981742
11/4/2020,NFLX,760190,1615596,0.470532237
11/3/2020,NFLX,458518,1230596,0.372598318
11/2/2020,NFLX,531829,1476141,0.360283333
10/30/2020,NFLX,1218210,2952856,0.412553135
